"","year","plot","trmt","season","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","fs_r2_quantile","fs_evar_quantile","fs_simp_quantile","fs_skew_quantile"
"13",2005,22,"control","winter",1,1,1,1,1,2,2,2,5,5,9,9,9,16,18,41,60,71,99,640,1174,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.02,0,0,1
"14",1995,2,"control","winter",1,2,4,5,6,6,6,7,11,16,22,36,41,81,116,158,306,331,512,644,670,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.02,0,0.01,0.61
"15",2001,2,"control","winter",1,1,2,2,3,4,4,4,6,14,15,23,30,30,41,47,50,57,76,306,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.05,0.04,0,0.99
"16",2004,2,"control","winter",1,1,2,3,3,4,4,5,7,9,10,15,22,31,39,126,1212,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.03,0,1
"17",2005,2,"control","winter",1,2,5,7,9,9,11,13,36,44,44,98,126,260,898,1392,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.06,0,0,0.93
"18",2007,2,"control","winter",1,1,1,1,3,4,5,11,600,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.03,0.02,0,1
"19",1995,4,"control","winter",1,2,2,2,2,3,4,5,6,6,8,9,10,12,15,20,37,44,105,177,220,293,374,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.04,0,0,0.74
"20",1998,4,"control","winter",1,2,2,2,2,4,4,5,5,10,11,49,107,136,228,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.01,0,0.01,0.83
"21",2001,4,"control","winter",1,1,1,1,2,3,3,7,8,18,44,81,89,254,350,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.03,0,0,0.86
"22",1995,8,"control","winter",2,2,2,2,3,3,4,4,11,12,12,13,15,27,38,40,97,134,244,306,346,524,786,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.02,0,0,0.84
