"","year","plot","trmt","season","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","fs_r2_quantile","fs_evar_quantile","fs_simp_quantile","fs_skew_quantile"
"11",1997,22,"control","winter",1,2,2,2,3,4,4,12,13,17,21,22,25,36,37,54,67,83,84,92,122,224,344,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4,0.04,0.02,0.9
"12",1998,22,"control","winter",1,1,1,2,2,2,2,5,5,7,9,12,13,26,27,27,36,45,62,1048,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.02,0.02,0,1
"13",2005,22,"control","winter",1,1,1,1,1,2,2,2,5,5,9,9,9,16,18,41,60,71,99,640,1174,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.02,0,0,0.98
"14",1995,2,"control","winter",1,2,4,5,6,6,6,7,11,16,22,36,41,81,116,158,306,331,512,644,670,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0.02,0.7
"15",2001,2,"control","winter",1,1,2,2,3,4,4,4,6,14,15,23,30,30,41,47,50,57,76,306,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.14,0.02,0,1
"16",2004,2,"control","winter",1,1,2,3,3,4,4,5,7,9,10,15,22,31,39,126,1212,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.04,0.02,0,1
"17",2005,2,"control","winter",1,2,5,7,9,9,11,13,36,44,44,98,126,260,898,1392,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0.98
"18",2007,2,"control","winter",1,1,1,1,3,4,5,11,600,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.02,0,0,1
"19",1995,4,"control","winter",1,2,2,2,2,3,4,5,6,6,8,9,10,12,15,20,37,44,105,177,220,293,374,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.06,0,0,0.74
"20",1998,4,"control","winter",1,2,2,2,2,4,4,5,5,10,11,49,107,136,228,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.04,0,0,0.82
"21",2001,4,"control","winter",1,1,1,1,2,3,3,7,8,18,44,81,89,254,350,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.06,0,0,0.94
"22",1995,8,"control","winter",2,2,2,2,3,3,4,4,11,12,12,13,15,27,38,40,97,134,244,306,346,524,786,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0.86
"23",2001,8,"control","winter",1,2,2,2,4,4,5,6,7,7,10,11,14,49,61,82,942,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,1
"24",2003,8,"control","winter",1,1,2,2,2,4,5,12,14,1378,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.04,0,0,1
"25",2004,11,"control","winter",1,1,1,1,2,2,2,3,6,9,24,39,72,732,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,1
"26",2001,12,"control","winter",1,1,3,4,4,5,6,8,9,13,24,36,90,159,618,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.02,0,0,1
"27",2005,12,"control","winter",1,1,1,2,3,4,5,5,5,11,14,19,23,33,52,62,308,372,536,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.22,0,0,0.88
"28",1995,22,"control","winter",1,1,1,1,2,2,3,7,8,9,9,9,14,15,17,24,32,65,102,103,139,163,176,272,926,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0.98
"29",2001,22,"control","winter",1,1,1,2,2,2,3,4,4,6,7,8,12,13,18,22,30,32,37,38,40,46,674,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.04,0,1
"30",2004,22,"control","winter",1,1,1,1,1,2,2,3,3,3,3,8,9,18,28,40,2300,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.02,0,0,1
"31",1998,3,"krat_removal","winter",1,1,1,2,3,4,5,6,6,6,32,114,297,1516,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,1
"32",2001,3,"krat_removal","winter",1,1,1,1,1,2,2,4,4,5,6,8,8,13,20,32,50,284,582,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.04,0,0,0.98
"33",1995,6,"krat_removal","winter",1,1,1,4,4,4,4,5,6,6,13,15,16,18,20,36,48,48,91,121,124,134,135,202,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.08,0.06,0.08,0.38
"34",2001,6,"krat_removal","winter",1,1,1,1,2,3,4,4,4,4,6,7,10,12,16,17,18,22,23,151,312,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2,0.04,0,0.98
"35",1995,13,"krat_removal","winter",2,2,2,3,5,5,7,7,9,12,12,14,20,22,34,38,75,75,79,94,190,450,534,927,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.12,0,0,0.92
"36",1998,13,"krat_removal","winter",1,1,1,2,2,3,5,6,10,10,16,36,46,46,52,114,196,984,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.02,0,0,1
"37",1995,15,"krat_removal","winter",1,1,1,2,3,3,3,3,4,4,4,5,8,14,14,27,75,78,314,1016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.04,0,0,1
"38",1995,18,"krat_removal","winter",1,1,2,3,4,4,4,6,7,11,12,16,19,23,34,41,47,83,92,100,114,144,146,200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,0.04,0.14,0.52
"39",2001,18,"krat_removal","winter",1,1,1,2,2,2,3,4,5,6,9,12,18,21,22,59,60,726,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.02,0,1
"40",1995,20,"krat_removal","winter",1,1,1,1,2,2,2,2,3,4,6,7,9,27,37,43,55,74,79,81,133,150,386,474,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.04,0,0,0.94
"41",2001,20,"krat_removal","winter",1,1,2,2,3,3,3,5,5,6,8,11,12,13,14,14,27,50,64,71,203,448,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.14,0,0,1
"42",1995,21,"krat_removal","winter",1,2,2,2,2,3,6,6,8,9,10,11,13,14,20,20,22,31,37,39,46,46,70,188,200,919,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.02,0.02,0,1
"43",1995,5,"removal","winter",1,1,1,1,2,3,4,4,5,7,8,9,12,12,12,20,22,36,298,450,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.02,0,0,0.98
"44",2001,5,"removal","winter",1,2,2,2,4,5,5,5,7,10,12,20,22,254,330,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0.9
