"","year","plot","trmt","season","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","fs_r2_quantile","fs_evar_quantile","fs_simp_quantile","fs_skew_quantile","poilog_expmu","poilog_sig"
"25",2004,11,"control","winter",1,1,1,1,2,2,2,3,6,9,24,39,72,732,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.08,0,0,1,0.10809965309735,3.59764453416141
"26",2001,12,"control","winter",1,1,3,4,4,5,6,8,9,13,24,36,90,159,618,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.23,0.02,0,1,5.93578260615102,2.20839909436165
"27",2005,12,"control","winter",1,1,1,2,3,4,5,5,5,11,14,19,23,33,52,62,308,372,536,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.26,0.01,0,0.84,4.79101201506241,2.56533282017965
"28",1995,22,"control","winter",1,1,1,1,2,2,3,7,8,9,9,9,14,15,17,24,32,65,102,103,139,163,176,272,926,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.03,0,0,0.99,7.59913196453578,2.4502111425538
"29",2001,22,"control","winter",1,1,1,2,2,2,3,4,4,6,7,8,12,13,18,22,30,32,37,38,40,46,674,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.03,0.04,0,1,5.3339984409039,1.92975799418497
"30",2004,22,"control","winter",1,1,1,1,1,2,2,3,3,3,3,8,9,18,28,40,2300,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,1,0.0742885305022923,3.56904020161382
"31",1998,3,"krat_removal","winter",1,1,1,2,3,4,5,6,6,6,32,114,297,1516,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.02,0,0,1,0.335165655718069,3.72924284547265
"32",2001,3,"krat_removal","winter",1,1,1,1,1,2,2,4,4,5,6,8,8,13,20,32,50,284,582,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0.99,0.481735273898276,3.14815917345124
"33",1995,6,"krat_removal","winter",1,1,1,4,4,4,4,5,6,6,13,15,16,18,20,36,48,48,91,121,124,134,135,202,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.03,0,0.06,0.37,11.8477525634543,1.81435950590405
"34",2001,6,"krat_removal","winter",1,1,1,1,2,3,4,4,4,4,6,7,10,12,16,17,18,22,23,151,312,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.02,0.04,0,0.99,3.42035773627229,1.97770693433892
"35",1995,13,"krat_removal","winter",2,2,2,3,5,5,7,7,9,12,12,14,20,22,34,38,75,75,79,94,190,450,534,927,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.02,0.01,0,0.93,17.9387809117604,1.98148284278359
"36",1998,13,"krat_removal","winter",1,1,1,2,2,3,5,6,10,10,16,36,46,46,52,114,196,984,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.01,0,0,1,4.02847225334601,2.65007655060887
"37",1995,15,"krat_removal","winter",1,1,1,2,3,3,3,3,4,4,4,5,8,14,14,27,75,78,314,1016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.06,0,0,1,1.53745877237913,2.80268879339232
"38",1995,18,"krat_removal","winter",1,1,2,3,4,4,4,6,7,11,12,16,19,23,34,41,47,83,92,100,114,144,146,200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.07,0.05,0.11,0.44,14.2181448716917,1.74410920453148
"39",2001,18,"krat_removal","winter",1,1,1,2,2,2,3,4,5,6,9,12,18,21,22,59,60,726,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.01,0.01,0,1,2.07317772743602,2.44532805889931
"40",1995,20,"krat_removal","winter",1,1,1,1,2,2,2,2,3,4,6,7,9,27,37,43,55,74,79,81,133,150,386,474,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.02,0,0,0.93,3.2417395677561,2.83661821596351
"41",2001,20,"krat_removal","winter",1,1,2,2,3,3,3,5,5,6,8,11,12,13,14,14,27,50,64,71,203,448,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.07,0.01,0,0.98,6.30860176040819,1.94619357502008
"42",1995,21,"krat_removal","winter",1,2,2,2,2,3,6,6,8,9,10,11,13,14,20,20,22,31,37,39,46,46,70,188,200,919,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.02,0.01,0,1,11.8138306822447,1.79051595916912
"43",1995,5,"removal","winter",1,1,1,1,2,3,4,4,5,7,8,9,12,12,12,20,22,36,298,450,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.05,0,0,0.98,2.78157167646013,2.29410840266177
"44",2001,5,"removal","winter",1,2,2,2,4,5,5,5,7,10,12,20,22,254,330,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.05,0,0.97,4.07233760690607,2.09843528412968
"45",2005,5,"removal","winter",1,1,1,1,1,1,2,3,5,11,20,21,212,272,390,2380,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,1,0.170308794805759,4.09962644361008
"46",2007,5,"removal","winter",1,1,1,2,8,10,67,636,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.04,0,0,1,0.10592661748889,3.86251806038218
"47",1995,7,"removal","winter",1,1,1,1,2,3,3,3,6,8,12,22,23,25,40,50,73,83,106,229,562,780,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.01,0,0,0.96,4.73085785046857,2.76510427677527
"48",1995,10,"removal","winter",1,2,2,3,4,11,14,15,19,32,40,41,42,50,52,61,67,110,223,232,1370,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.01,0.01,0,1,21.9524780731608,1.86887436522891
"49",2001,10,"removal","winter",1,1,1,3,4,4,5,31,44,388,1140,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0.97,0.269703245378944,3.9493081152977
"50",2007,10,"removal","winter",1,4,4,8,107,1134,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.17,0,0,0.99,1.3675374027576,3.68251842618953
"51",2001,16,"removal","winter",1,1,1,2,2,2,3,3,4,7,7,10,13,14,28,303,890,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.09,0,0,0.99,0.569118579251787,3.08131411801301
"52",1995,23,"removal","winter",1,1,1,1,1,3,5,6,7,7,12,13,17,20,22,30,33,38,59,105,106,153,156,211,278,1816,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,1,8.99534426736824,2.47202531417126
"53",1997,4,"control","winter",1,1,2,2,2,5,7,8,9,10,12,18,21,24,32,62,156,288,794,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.01,0,0,0.99,6.68655722482258,2.26537359606162
"54",1999,4,"control","winter",1,56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.02,0.02,1,0.124241205905887,3.80731455320164
"55",2004,4,"control","winter",1,1,1,2,2,2,4,13,18,52,54,59,698,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.02,0,0,1,0.389139669069362,3.47722044743382
"56",2005,4,"control","winter",1,1,2,2,2,3,5,6,14,89,152,407,558,1036,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.11,0,0,0.89,0.756573669522918,3.93283497097972
"57",2007,4,"control","winter",1,1,1,18,56,528,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.65,0,0,1,0.136252207170368,4.05298820571272
"58",2008,4,"control","winter",1,1,1,2,9,10,36,838,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.32,0,0,1,0.0997408603463196,3.8557256331967
"59",1997,8,"control","winter",1,1,1,1,2,2,3,5,5,5,7,7,12,16,24,65,82,107,376,496,924,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.06,0,0,0.94,1.56865143856712,3.21855534338214
"60",2004,8,"control","winter",1,1,1,2,2,2,6,10,25,92,1618,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.16,0,0,1,0.105083840166204,3.84469542847911
"61",2005,8,"control","winter",1,2,2,4,5,8,10,14,28,38,50,103,486,1282,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.02,0.01,0,0.98,8.19205306714264,2.54657397527878
"62",2007,8,"control","winter",1,1,1,1,2,2,4,4,8,24,938,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.03,0,0,1,0.0429388850283556,3.57136514852831
"63",2008,8,"control","winter",1,1,4,6,7,10,17,20,24,658,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.24,0,0,1,4.04349442818841,2.32168466555916
"64",1995,11,"control","winter",1,1,4,4,5,7,10,16,16,17,23,27,31,42,44,46,58,59,64,98,133,390,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.43,0.11,0,0.99,19.4101831970074,1.46077463499557
"65",1997,11,"control","winter",1,2,2,4,4,5,9,13,15,16,20,21,38,44,62,97,108,144,183,310,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.03,0.05,0.01,0.77,16.1555706347929,1.72892681095837
"66",1998,11,"control","winter",1,1,1,1,1,2,3,3,4,4,8,27,116,127,286,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.03,0,0,0.92,0.10117744292431,3.58582236049528
"67",2001,11,"control","winter",1,1,1,2,3,8,10,12,20,22,32,39,50,77,166,416,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.08,0,0,1,7.21749700669148,2.22016142863748
"68",2005,11,"control","winter",1,1,1,1,1,2,4,7,9,11,11,18,107,303,362,1448,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,1,0.257373044782829,3.97042369643784
"69",2007,11,"control","winter",1,1,2,2,6,14,524,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.11,0.03,0,1,0.0741229050431279,3.69563856897319
"70",2008,11,"control","winter",2,2,2,4,4,5,7,25,624,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.05,0.06,0,1,1.80536061379467,2.50940787680865
"71",1998,12,"control","winter",1,1,1,1,2,3,3,4,6,9,36,78,170,354,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.12,0,0,0.96,0.201290127541344,3.5522310208195
"72",2004,12,"control","winter",1,1,2,2,4,7,72,122,822,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.01,0,0,1,0.245514318219709,3.91195633561117
"73",2007,12,"control","winter",1,1,2,10,10,266,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.18,0.01,0,1,0.109455360148223,3.63527493662608
"74",2009,12,"control","winter",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA
"75",1995,14,"control","winter",1,3,4,4,4,6,6,8,9,9,10,11,20,32,56,58,96,155,251,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.24,0.13,0.01,0.92,11.5801650335758,1.56323088364664
"76",1997,14,"control","winter",1,2,2,2,3,3,4,4,5,6,6,8,12,16,28,29,59,75,105,154,172,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.15,0.06,0.01,0.72,7.00280709823215,1.83491648090412
"77",2001,14,"control","winter",2,5,6,7,9,12,14,15,16,20,21,50,93,102,120,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.81,0.45,0.2,0.61,17.0791356418977,1.14936967433326
"78",2004,14,"control","winter",1,1,2,2,3,4,5,8,15,21,36,392,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,0.02,0,1,1.6468323237265,2.4363365426971
"79",2005,14,"control","winter",1,1,3,3,3,7,8,12,22,23,34,39,45,232,440,536,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.06,0,0,0.9,8.96105014703846,2.34170867531941
"80",2007,14,"control","winter",1,1,1,1,2,2,2,2,2,2,3,6,18,500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.02,0.01,0,1,0.0329825688675722,3.20300820635441
"81",2008,14,"control","winter",1,1,2,4,8,10,17,282,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.02,0.02,0,1,0.762947065793659,2.83680038392389
